#az vm extension image list --location eastus -o table
Name                                     Publisher                                             Version
---------------------------------------  ----------------------------------------------------  -----------------
AcronisBackup                            Acronis.Backup                                        1.0.33
AcronisBackup                            Acronis.Backup                                        1.0.51
AcronisBackupLinux                       Acronis.Backup                                        1.0.33
AlertLogicLM                             AlertLogic.Extension                                  1.3.0.0
AlertLogicLM                             AlertLogic.Extension                                  1.4.0.0
AlertLogicLM                             AlertLogic.Extension                                  1.9.0.0
AlertLogicLM                             AlertLogic.Extension                                  1.9.1.0
AlertLogicLM                             alertlogic                                            1.3.0.1
AgentWinExt                              bmc.ctm                                               9.0.0.1
ChefClient                               Chef.Bootstrap.WindowsAzure                           11.18.6.2
ChefClient                               Chef.Bootstrap.WindowsAzure                           1207.12.3.0
ChefClient                               Chef.Bootstrap.WindowsAzure                           1210.12.110.1002
ChefClient                               Chef.Bootstrap.WindowsAzure                           1210.13.2.3
ChefClient                               Chef.Bootstrap.WindowsAzure                           1210.13.3.1
ChefClient                               Chef.Bootstrap.WindowsAzure                           1210.13.3.2
ChefClient                               Chef.Bootstrap.WindowsAzure                           1210.13.3.3
ChefClient                               Chef.Bootstrap.WindowsAzure                           1210.13.4.1
ChefClient                               Chef.Bootstrap.WindowsAzure                           1210.13.4.2
ChefClient                               Chef.Bootstrap.WindowsAzure                           1210.13.4.3
ChefClient                               Chef.Bootstrap.WindowsAzure                           1210.13.5.1
ChefClient                               Chef.Bootstrap.WindowsAzure                           1210.13.5.2
ChefClient                               Chef.Bootstrap.WindowsAzure                           1210.14.1.0
ChefClient                               Chef.Bootstrap.WindowsAzure                           1210.14.1.1
ChefClient                               Chef.Bootstrap.WindowsAzure                           1210.14.1.2
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           11.18.6.2
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1207.12.3.0
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1210.12.110.1002
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1210.13.2.3
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1210.13.3.1
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1210.13.3.2
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1210.13.3.3
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1210.13.4.1
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1210.13.4.2
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1210.13.4.3
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1210.13.5.1
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1210.13.5.2
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1210.14.1.0
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1210.14.1.1
LinuxChefClient                          Chef.Bootstrap.WindowsAzure                           1210.14.1.2
CloudLinkSecureVMLinuxAgent              CloudLinkEMC.SecureVM                                 5.5.23389.23430
CloudLinkSecureVMLinuxAgent              CloudLinkEMC.SecureVM                                 6.0.62.0
CloudLinkSecureVMLinuxAgent              CloudLinkEMC.SecureVM                                 6.8.93.0
CloudLinkSecureVMWindowsAgent            CloudLinkEMC.SecureVM                                 5.5.6.23416
CloudLinkSecureVMWindowsAgent            CloudLinkEMC.SecureVM                                 6.0.66.0
